거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
53000,1993,2018,분당동,장안타운(건영),9,1~10,70.68,66,41135,13
51000,1993,2018,분당동,장안타운(건영),9,1~10,67.73,66,41135,12
81000,1994,2018,분당동,샛별마을(우방),9,1~10,84.99,38,41135,2
76000,1994,2018,분당동,샛별마을(우방),9,1~10,84.99,38,41135,1
90000,1993,2018,수내동,푸른마을(신성),9,1~10,84.72,73,41135,4
100000,1993,2018,수내동,푸른마을(벽산),9,1~10,101.82,71,41135,11
84500,1993,2018,수내동,파크타운(서안),9,1~10,84.78,52,41135,12
92700,1992,2018,수내동,푸른마을(쌍용),9,11~20,84.72,75,41135,6
149000,1993,2018,수내동,양지마을(금호1),9,11~20,198.45,32,41135,26
78900,1994,2018,정자동,한솔마을(5단지)(주공),9,1~10,74.91,112,41135,10
52000,1994,2018,정자동,한솔마을(5단지)(주공),9,1~10,41.85,112,41135,8
45500,1994,2018,정자동,한솔마을(5단지)(주공),9,1~10,41.85,112,41135,11
48500,1994,2018,정자동,한솔마을(5단지)(주공),9,1~10,42.75,112,41135,19
87500,1995,2018,정자동,한솔마을(2단지)(LG),9,1~10,134.94,111,41135,4
80700,1994,2018,정자동,한솔마을(1단지)(청구),9,1~10,84.965,110,41135,2
150000,2004,2018,정자동,분당파크뷰,9,1~10,162.869,6,41135,20
51000,1994,2018,정자동,정든마을(6단지)(우성),9,1~10,48.84,198,41135,11
135000,2004,2018,정자동,분당파크뷰,9,1~10,124.515,6,41135,13
93000,1994,2018,정자동,상록마을(우성)1,9,1~10,69.12,121,41135,2
50500,1994,2018,정자동,한솔마을(4단지)(주공),9,1~10,41.85,102,41135,8
45000,1994,2018,정자동,한솔마을(1단지)(청구),9,1~10,49.35,110,41135,16
55800,1994,2018,정자동,정든마을(7단지)(한진),9,1~10,49.5,194,41135,9
78000,1995,2018,정자동,정든마을(2단지)(동아),9,1~10,84.97,198,41135,10
46000,1994,2018,정자동,한솔마을(5단지)(주공),9,1~10,41.85,112,41135,2
124000,2003,2018,정자동,현대I-PARK3,9,11~20,171.39,11,41135,10
88000,1995,2018,정자동,정든마을(4단지)(우성),9,11~20,101.98,197,41135,5
85000,1991,2018,서현동,시범우성,9,1~10,84.88,96,41135,4
52500,1994,2018,서현동,효자촌(화성),9,1~10,53.82,308,41135,3
83000,1993,2018,서현동,효자촌(삼환),9,1~10,94.487,301,41135,8
53000,1994,2018,서현동,효자촌(럭키),9,1~10,53.82,308,41135,4
47200,1994,2018,서현동,효자촌(화성),9,1~10,53.82,308,41135,12
50000,1991,2018,서현동,시범한양,9,1~10,35.1,91,41135,11
88500,1992,2018,서현동,효자촌(현대),9,11~20,84.6,299,41135,7
98000,1992,2018,서현동,시범한양,9,11~20,84.93,91,41135,24
125000,1992,2018,이매동,이매촌(청구),9,1~10,133.15,123,41135,2
95000,1992,2018,이매동,아름마을(태영),9,1~10,134.79,132,41135,4
92000,1994,2018,이매동,이매촌(삼성),9,1~10,101.91,100,41135,5
100000,1992,2018,이매동,아름마을(건영),9,1~10,133.89,132,41135,15
105000,1992,2018,이매동,아름마을(건영),9,1~10,133.89,132,41135,7
84000,1992,2018,이매동,아름마을(태영),9,21~30,101.85,132,41135,2
105000,1993,2018,이매동,아름마을(두산),9,21~30,132.72,133,41135,3
34000,1995,2018,야탑동,목련마을(영남),9,1~10,53.6,156,41135,14
82000,1992,2018,야탑동,탑마을(대우),9,1~10,101.76,535,41135,4
82000,1993,2018,야탑동,장미마을(현대),9,1~10,84.97,334,41135,4
37000,1993,2018,야탑동,매화마을(주공4),9,1~10,35.28,211,41135,2
55000,1995,2018,야탑동,매화마을공무원2,9,1~10,58.71,215,41135,11
70000,1993,2018,야탑동,장미마을(현대),9,1~10,74.61,334,41135,9
79000,1993,2018,야탑동,장미마을(동부),9,1~10,84.99,330,41135,16
57000,1995,2018,야탑동,목련마을(영남),9,1~10,84.93,156,41135,4
105000,1993,2018,야탑동,탑마을(기산)1,9,1~10,131.4,511,41135,12
85000,1993,2018,야탑동,장미마을(동부),9,1~10,101.41,330,41135,15
59500,1992,2018,야탑동,탑마을(선경)1,9,1~10,51.84,536,41135,13
39800,1993,2018,야탑동,매화마을(주공3),9,11~20,41.85,205,41135,6
59900,1995,2018,야탑동,매화마을공무원1,9,11~20,58.92,201,41135,13
132000,2009,2018,판교동,판교원마을11단지(현대),9,1~10,118.6,513,41135,13
105000,2009,2018,삼평동,봇들마을2단지(이지더원),9,11~20,83.392,717,41135,4
169000,2011,2018,백현동,판교푸르지오그랑블,9,1~10,105.1308,542,41135,2
100000,1994,2018,금곡동,청솔마을(성원),9,1~10,101.88,143,41135,10
59800,1995,2018,금곡동,청솔마을(공무원),9,1~10,58.71,125,41135,16
67000,1994,2018,금곡동,청솔마을(대원),9,1~10,50.4,141,41135,7
60000,1996,2018,금곡동,청솔마을(계룡),9,1~10,55.44,176,41135,10
68000,1994,2018,금곡동,청솔마을(공무원),9,1~10,66.6,125,41135,2
74000,2004,2018,금곡동,삼라마이다스빌,9,11~20,139.71,208,41135,15
86500,2004,2018,금곡동,분당하우스토리,9,11~20,177.71,202,41135,14
97800,2003,2018,금곡동,두산위브트레지움,9,11~20,147.6,192,41135,9
39500,1995,2018,금곡동,청솔마을(주공9단지),9,11~20,36.54,133,41135,6
69000,1996,2018,구미동,무지개(3단지)(건영),9,1~10,84.97,201,41135,10
37600,1995,2018,구미동,하얀마을(5단지)(주공),9,1~10,35.28,110,41135,8
51000,1995,2018,구미동,무지개(5단지)(청구),9,1~10,58.49,221,41135,14
63000,1996,2018,구미동,까치마을(2단지)(주공),9,1~10,59.98,88,41135,22
39000,1995,2018,구미동,하얀마을(5단지)(주공),9,1~10,35.28,110,41135,3
85000,1995,2018,구미동,까치마을(1단지)(대우롯데선경),9,1~10,84.79,77,41135,7
72000,1995,2018,구미동,무지개(5단지)(청구),9,1~10,85.0,221,41135,8
52700,1995,2018,구미동,무지개(4단지)(주공),9,1~10,59.98,220,41135,16
33500,1995,2018,구미동,하얀마을(5단지)(주공),9,1~10,36.0,110,41135,5
73000,1995,2018,구미동,무지개(9단지)(동아),9,1~10,134.16,240,41135,16
46400,1996,2018,구미동,무지개(12단지)(주공뜨란체),9,1~10,59.98,212,41135,17
92250,1995,2018,구미동,까치마을(1단지)(대우롯데선경),9,11~20,84.79,77,41135,5
71000,1995,2018,구미동,무지개(2단지)(엘지),9,11~20,84.822,202,41135,12
82000,1995,2018,구미동,무지개(2단지)(엘지),9,11~20,134.94,202,41135,7
